  52000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a58
  62000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c6b, Fetch PC:0x7ffff7dd8c68
  62000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c6b, Fetch PC:0x7ffff7dd8c68
  52500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5a, Fetch PC:0x7ffff7dd8a58
  62500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c6d, Fetch PC:0x7ffff7dd8c68
  62500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c6d, Fetch PC:0x7ffff7dd8c68
  53000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5d, Fetch PC:0x7ffff7dd8a58
  63500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c70, Fetch PC:0x7ffff7dd8c70
  54500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a58
  65000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c90, Fetch PC:0x7ffff7dd8c90
  55000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  55000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a5f, Fetch PC:0x7ffff7dd8a60
  65500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c93, Fetch PC:0x7ffff7dd8c90
  66000: system.cpu0: 56000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a63, Fetc  66000: system.cpu0: 56000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a63, Fetch PC:0x7ffff7dd8a60
  66500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c96, Fetch PC:0x7ffff7dd8c98
  57500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a65, Fetch PC:0x7ffff7dd8a60
  57500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a65, Fetch PC:0x7ffff7dd8a60
  67500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8c9a, Fetch PC:0x7ffff7dd8c98
  58000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a68, Fetch PC:0x7ffff7dd8a68
  58000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a68, Fetch PC:0x7ffff7dd8a68
  69000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8dd8, Fetch PC:0x7ffff7dd8dd8
  58500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a6b, Fetch PC:0x7ffff7dd8a68
  58500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a6b, Fetch PC:0x7ffff7dd8a68
  69500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8ddb, Fetch PC:0x7ffff7dd8dd8
  70000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8dde, Fetch PC:0x7ffff7dd8dd8
  70000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8dde, Fetch PC:0x7ffff7dd8dd8
  59500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a6f, Fetch PC:0x7ffff7dd8a68
  70500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8dde, Fetch PC:0x7ffff7dd8de0
  60000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a6f, Fetch PC:0x7ffff7dd8a70
  60000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8a6f, Fetch PC:0x7ffff7dd8a70
  71500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8de2, Fetch PC:0x7ffff7dd8de0
  73000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8de8, Fetch PC:0x7ffff7dd8de8
  73000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8de8, Fetch PC:0x7ffff7dd8de8
  61500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8c68, Fetch PC:0x7ffff7dd8c68
  73500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8deb, Fetch PC:0x7ffff7dd8de8
  73500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8deb, Fetch PC:0x7ffff7dd8de8
  62000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8c6b, Fetch PC:0x7ffff7dd8c68
  74000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8def, Fetch PC:0x7ffff7dd8de8
  62500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8c6d, Fetch PC:0x7ffff7dd8c68
  62500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8c6d, Fetch PC:0x7ffff7dd8c68
  74500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8def, Fetch PC:0x7ffff7dd8df0
  63500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8c70, Fetch PC:0x7ffff7dd8c70
  63500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8c70, Fetch PC:0x7ffff7dd8c70
  76000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a53, Fetch PC:0x7ffff7dd8a50
  77000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a50
  77000: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a50
  65000: system.cpu1: Fetch: Inst PC:0x7ffff7dd8c90, Fetch PC:0x7ffff7dd8c90
  77500: system.cpu0: Fetch: Inst PC:0x7ffff7dd8a57, Fetch PC:0x7ffff7dd8a58
  65500: system.cpu1: Fetch: Inst PC:0x7ffff7dd8c93, Fetch PC:0x7ffff7dd8c90
